"ids","rel.ids","mzs","RTs","Int"
1,0,96.9584637445698,48.3701328011446,1449591296
35,0,98.9541391023741,48.395776567005,69215424
215,0,705.192297070616,50.2802044096447,15274237
250,0,925.235146411344,49.0860281444731,13603918
301,0,786.218065645785,50.9398586182367,11542660
312,0,97.9577426648856,48.3838506362017,11131763
382,0,343.010306647897,47.7260597630551,8781888
429,0,786.719673304246,50.9799872352963,7505916
556,0,867.243948800208,51.1629741759527,5909452
718,0,926.239792682206,48.9760630925496,4508905.5
784,0,867.745410943242,51.188810530163,4096430.25
791,0,948.269447104534,51.4080983116513,4058877.75
807,0,787.220388214318,50.9463076364426,3917433.5
1018,0,948.77107357262,51.4115215029035,3163931.75
1335,0,868.24613566716,51.1523161388579,2385562.75
1531,0,949.271873527331,51.4114593778338,2019024
2,1,89.023353313418,60.6102912370549,825056768
106,1,90.0264266023596,60.5993244259856,28306952
508,1,91.0273171552079,60.6468090281767,6388811.5
3,2,191.018653954774,63.1644823828409,736633984
56,2,192.021826684012,63.1555938720703,48708980
81,2,111.007119546836,63.1361421097157,38004984
256,2,182.99244951798,63.5032409940447,13299524
318,2,193.022482525244,63.1790635699318,10915048
1396,2,112.010446508186,63.1682091667539,2255813.75
4,3,128.033794354168,65.952389384425,659737792
19,3,372.104476258139,65.4907369159517,95507544
47,3,257.077560411285,65.8933617728097,54734068
82,3,129.03703019374,65.9131698608398,37744856
529,3,258.080887869375,65.9041996002197,6230964.5
823,3,130.037902689229,65.8861727033343,3793934.25
4473,3,259.082216653042,65.9735871269589,636675.1875
5,4,117.017722722375,75.5639875545058,518873312
120,4,118.020960939042,75.5413268333258,24981984
181,4,73.0292000173605,75.54692494592,18300312
246,4,216.943736809668,75.4874878816826,13758305
369,4,99.0071103887202,75.5901783787927,9128103
707,4,119.021842259323,75.5278851645333,4581630.5
2174,4,217.943295041485,75.5038520268032,1385379.375
2189,4,408.991846046479,75.6566108521961,1369755.25
3067,4,409.989495151954,75.6406548741352,949523.9375
4440,4,74.0325611398195,75.6378664289202,642834.3125
7297,4,100.010489886149,75.6016607738676,393663.53125
6,5,165.039159275745,43.7647232233092,370429600
24,5,507.15606474639,43.573247954959,84360952
147,5,166.04250303415,43.7871889840989,21093324
213,5,508.159392860805,43.6836040692452,15455364
265,5,477.145691740007,44.920923985933,12925737
277,5,345.103761126761,44.5858529791775,12365887
280,5,263.017151378243,44.2327230544317,12322586
553,5,113.02278161709,44.4148246853851,5943661
677,5,167.043318476366,43.8161741438366,4749318
776,5,509.160678854069,43.7216646622638,4132939.5
7,6,387.114318150167,43.0495399208956,351211712
16,6,377.085434145386,44.7204094376675,124535208
17,6,439.085711234609,43.8882377715338,120713392
49,6,388.11771206418,43.0773960379667,52574948
65,6,341.108654268718,43.1349139989809,44376976
129,6,729.229801685653,43.2397057124547,23236096
141,6,161.044223870311,43.5249160944029,21646654
281,6,389.119086579919,43.0106994083949,12313155
574,6,342.112127517493,43.1015324365525,5798071.5
2169,6,162.047602866018,43.9942699159895,1387237.375
8,7,87.0077029714948,54.3836780370668,330456384
309,7,88.0110042810578,54.461086583692,11236444
1226,7,89.0119360083181,54.4275693108054,2614369.5
9,8,133.012722783514,52.0226860933526,321833088
171,8,115.002064825129,52.0941445993823,18926856
233,8,134.015991799978,52.0167745862688,14399940
871,8,135.016854665105,52.0422403244745,3587837.5
3295,8,116.005429293204,52.0679089682443,877908.4375
10,9,195.049982738118,43.6476410266965,236547856
202,9,196.053287766187,43.6675677980695,16055035
261,9,191.018698857766,44.5230380657107,13068522
287,9,293.027822378113,44.1456565402803,12031359
583,9,197.065582999841,44.2622103009905,5688693
1004,9,197.054025017416,43.6094598770142,3220175
11,10,329.233407882769,547.118147350493,180429088
88,10,330.236680609746,547.103321620396,36227368
291,10,659.473428700505,547.103346325102,11909254
558,10,392.229032616732,547.121715727307,5904107
674,10,660.47683296437,547.121808733259,4778462
715,10,331.239182272585,547.110770815895,4516541
1113,10,397.220615094328,547.136465890067,2874695
1137,10,365.209759291689,547.10326058524,2827645.75
1177,10,429.158189644446,547.095876057943,2747183.5
3350,10,327.217883675695,547.013644990467,1363927.625
2671,10,661.47976645149,547.125022329935,1102018
2709,10,393.232234911451,547.140407017299,1088421.875
3280,10,367.206578768283,547.09968930199,882405.875
3847,10,430.160680227006,547.084807623,742599.5625
4570,10,432.155942587375,547.114273797898,622727.0625
4745,10,398.224134051789,547.13314020066,599610
5501,10,366.213072810353,547.128991263253,522407
10406,10,431.157941163959,547.15513465518,271631.625
15268,10,399.196611794841,547.125694638207,181218.296875
13,11,191.01862517734,51.4995708909146,146714448
345,11,192.02192621407,51.4040988286336,9973235
1464,11,193.022652853443,51.422406014942,2137555.75
15,12,194.926458766369,48.5332526156777,128864640
314,12,196.922221396358,48.0526174125025,10358796
20,13,179.054931693056,45.4860528014427,91625192
101,13,149.044112527018,47.3330981390817,29202814
296,13,521.171908387317,45.0845550355457,11674111
372,13,177.039257470137,47.9015906134317,9064219
412,13,197.021152836282,46.2795691263108,7896965.5
539,13,180.058286751005,45.5043301355271,6165112.5
1868,13,150.047475356059,47.3185497919718,1623083
2436,13,181.059188589225,45.558575630188,1215758.875
21,14,245.04270223508,46.3614043291877,90703208
98,14,152.994420906457,48.3422589074998,29808948
185,14,863.2424507957,48.3172710055397,17885830
483,14,865.24108101169,48.153969401405,6738183.5
528,14,246.046054645627,46.4148288454328,6234595.5
537,14,864.245680672798,48.1250551768712,6180238
22,15,361.202248748158,617.192038602607,88978184
151,15,362.205538292804,617.045234316871,20781554
863,15,429.189346522399,619.271823701404,3605804.25
875,15,745.392650986152,619.145130702427,3569234.25
1110,15,363.208251888628,617.62324378604,2882121.5
1944,15,746.395977846653,619.275561378116,1554462.875
2375,15,731.377005300085,617.883276803153,1253363.75
2504,15,446.179631858754,619.833355131603,1178777.5
3451,15,430.192737665176,618.908681233724,833681.625
4972,15,732.380160136262,617.606173560733,576396.25
6729,15,747.398874034175,619.346884378573,427643.96875
10347,15,447.183254011448,619.72240847633,273357.96875
23,16,347.186450682646,600.217948644301,88841792
161,16,348.189760049576,600.21369934082,19601340
854,16,717.36125492749,600.108676728748,3663514.25
984,16,415.173970695772,600.575852167039,3276736.5
1247,16,349.192441629886,600.213867914109,2571229.75
2007,16,718.364559495903,600.262814405488,1514135.875
2396,16,432.163869815264,600.750385829381,1238840.375
3855,16,416.177504273069,600.681503295898,741169.25
6526,16,719.36742715963,600.865978843287,441753.8125
9838,16,433.167382520957,601.087071010045,288142.90625
25,17,175.060044678485,312.014079502651,84207040
491,17,176.063357737955,312.005677722749,6630521
2823,17,277.9839183787,312.005965823219,1035852.5625
3488,17,177.063957459504,312.059313456217,819422.4375
4037,17,276.985834908701,311.982723417736,705133.875
11000,17,278.981414398939,311.963987077986,256500.15625
26,18,361.202121967104,662.798617340798,83877936
159,18,362.20547608255,662.825409294577,19741292
1131,18,363.208117817524,662.736458188012,2836785.75
1262,18,429.189225081775,662.460640316918,2522847.75
1566,18,745.391945048399,662.775085449219,1960226.375
3430,18,746.395281363245,662.763875325521,837569.5
4267,18,430.192612323573,662.632952735538,670049.0625
27,19,225.087388328502,184.980692363921,83082576
373,19,226.090595743632,184.903882707868,9022887
492,19,451.183164526832,184.935238974435,6608495
566,19,325.013128325408,185.012012118385,5856346.5
1336,19,181.097114702397,184.985723767962,2367134
2009,19,452.186690306024,184.830118633452,1511109
2838,19,328.010789059446,184.911288306827,1028959.25
3375,19,326.014906700007,185.000887734549,849833.625
4258,19,373.018478882936,185.139623732794,671043
4483,19,227.091491864628,184.998657408215,635124.8125
5772,19,327.012730360924,184.607216063,497441.96875
6388,19,374.015780910521,184.989602225167,450446.96875
10482,19,375.01305348413,184.986524854388,269798.5
11989,19,182.100515913464,185.047925676618,234130.796875
13104,19,553.107914892141,184.933649880545,214462.171875
14617,19,554.106306629137,184.809653509231,189764.125
28,20,96.9584596478919,67.0308892006098,78912112
29,21,263.128825930574,542.478646414621,78211504
254,21,264.132185612511,542.482843712915,13370231
2567,21,265.135118684482,542.549833796574,1151121.875
30,22,146.044448981694,42.6871207101004,76865424
196,22,88.0393302184128,42.6033096767607,16568252
431,22,102.054387335864,42.4679775692168,7467160
522,22,128.033809261847,42.8962483960529,6302127
31,23,241.118969371649,358.103390648251,75893192
371,23,242.12218429561,358.054260253906,9085836
701,23,341.044411445556,358.088103884742,4641502
3445,23,342.046347936535,358.088549659366,835334.6875
4361,23,243.123707761657,358.096058073498,654645.0625
5149,23,343.043959998656,358.096137637184,556144.5625
6543,23,344.041741672571,358.114903041295,440180.5
16789,23,345.038835789011,358.153213500977,162660.703125
32,24,377.196993876536,594.128582908994,75872336
187,24,378.200363234815,592.60057867141,17506544
1416,24,445.184475464258,592.578659820557,2211242.5
5549,24,446.187772591424,593.383354418205,519099.84375
8054,24,525.127317306518,593.201846905609,355891.40625
8606,24,526.126018361905,593.007599801728,333397.03125
33,25,133.049103725808,72.0212328711221,74535720
741,25,134.052438824147,72.216602688744,4353916.5
4366,25,135.053305884725,71.4936602456229,654140.5
34,26,549.166960322114,45.2517837701842,72811560
211,26,550.170368103986,45.1960266024567,15764284
423,26,699.219224355213,44.06272315979,7596659.5
795,26,503.161585635823,45.7769807771195,4017844.75
806,26,551.17192311241,45.2834625692929,3927570
1490,26,700.222607266287,44.154779958725,2090799
3099,26,504.165256336647,45.9550395238967,937362.625
36,27,539.138144730696,45.9821301414853,69014744
133,27,541.134917636823,46.0003217969622,22621736
236,27,540.141605177918,46.0836720693679,14296634
728,27,542.138488017639,45.9858662741525,4417290
37,28,347.186363881882,653.558016045149,67624168
223,28,348.189716778446,653.561695643834,14918966
1311,28,415.173883782244,653.673717680432,2421476.75
1495,28,349.192408504231,653.576894850958,2083549.875
2849,28,432.163735218866,653.380429949079,1025496.9375
