"ids","rel.ids","mzs","RTs","Int"
"1","0","191.01861719518","56.672308670847","1790060032"
"14","0","192.021783519092","56.6286632434742","124421424"
"30","0","111.007145845672","56.7767747577868","71385696"
"75","0","193.022429708464","56.6368165545993","25689804"
"177","0","405.027846951773","56.9305170420054","10976916"
"332","0","290.94460507177","57.1459204184042","5477655"
"414","0","112.010457709611","56.7475933498806","4262903.5"
"550","0","87.0077436819052","56.69914757578","4189379.75"
"449","0","184.953705935414","57.1782140731812","3915675.5"
"592","0","85.0286422446272","58.3338328467475","2921031"
"819","0","194.026150713127","56.6185987260607","1959749.125"
"1208","0","288.986706969412","56.7392454147339","1212068.75"
"1251","0","383.046142058894","56.7831361944025","1155255.75"
"2","1","116.070110357874","50.0836273996454","520144960"
"66","1","117.073362880363","50.1189183686909","29297400"
"260","1","215.996056139699","50.103550169203","6917490.5"
"328","1","162.075811677882","50.3274472889147","5607635.5"
"341","1","335.075494337108","50.101493411594","5342488.5"
"502","1","184.057919692742","50.0966028916208","3578368.25"
"688","1","172.005827243326","50.1025364134047","2374166.75"
"733","1","118.074231006407","50.3762788772583","2206298.5"
"873","1","251.076732395433","49.8371989658901","1789827.875"
"985","1","337.070191365934","49.8031036588881","1550085.75"
"2156","1","98.93752556332","49.9585625497918","958158.5"
"1590","1","406.148206827099","49.7165560288863","854891.1875"
"2095","1","202.034695172512","48.8395060947963","618480.625"
"2377","1","262.001658331522","50.1968832517925","527549"
"2757","1","246.029057366673","50.0508600870768","453453.5"
"3503","1","214.001649501138","50.1469835705227","341935.90625"
"3","2","289.067478057882","59.8251756366931","447487072"
"4","2","243.061689806793","58.3721452010305","406734016"
"40","2","290.070875865257","59.9524153659218","49079840"
"51","2","244.064957198353","59.006003931949","39741840"
"73","2","487.130883176386","60.0344904119318","25933654"
"322","2","111.018357024989","57.2974445945338","10458072"
"220","2","360.997779387031","61.1062876757453","8256727.5"
"227","2","291.071962280714","59.8964770923961","8074327.5"
"288","2","110.023120534308","60.7074679324501","6405828"
"334","2","311.049437899296","60.1172676086426","5475496.5"
"353","2","245.065851905883","59.9101949171586","5105660.5"
"395","2","488.134504738982","60.0482905994762","4427387.5"
"422","2","404.130483770656","60.2876513937245","4197529"
"521","2","341.038727576509","60.8768820329146","3434515.75"
"591","2","200.055453590798","59.8148398929172","2926563.75"
"805","2","152.033900685303","60.7316094636917","1985787.25"
"1034","2","140.033771108173","60.4917197908674","1455417.75"
"1127","2","361.999310097421","61.3058993599632","1303866.625"
"1516","2","342.987107135915","60.4031458887561","898174.75"
"1557","2","421.109473943384","61.1451396942139","879959.875"
"2104","2","375.013332883309","61.1772271728516","615397.0625"
"2320","2","66.1441691818985","59.8072392145793","543881.4375"
"2681","2","246.069451889103","59.8275410045277","468026.125"
"3091","2","359.0030287709","63.9077352947659","444527"
"5","3","128.033781906016","61.0635142075388","338185824"
"65","3","257.077519224932","61.0692207336426","30457646"
"100","3","129.037056008302","60.9745199873641","19203454"
"128","3","173.007879254066","59.8819736904568","13948646"
"153","3","160.060146318551","60.6763525266905","12055359"
"186","3","227.959825031828","61.479171534947","10240589"
"365","3","279.059354004519","61.4268041338239","4937283"
"544","3","258.080855583967","65.4463351658412","3254978"
"594","3","233.103719418355","59.8678037282583","2896355.75"
"739","3","130.037911310751","61.0046453475952","2189989"
"1177","3","164.010653265044","61.2441228594099","1237964.625"
"1192","3","226.01137476378","61.6370428902762","1220705.75"
"1198","3","611.041369473644","62.51510685512","1219283.5"
"1405","3","195.032195257011","60.8336645943778","980527.625"
"1408","3","228.959478268923","61.4847027546651","977096.4375"
